PMID,AF
23244807,"Cella, David;Jensen, Sally E;Webster, Kimberly;Hongyan, Du;Lai, Jin-Shei;Rosen, Steven;Tallman, Martin S;Yount, Susan"
23314015,"Wood, Lisa J;Weymann, Kristianna"
22261005,"Fagerlind, Hanna;Kettis, Asa;Bergström, Ida;Glimelius, Bengt;Ring, Lena"
23102652,"Walker, Jane;Sawhney, Aarti;Hansen, Christian Holm;Symeonides, Stefan;Martin, Paul;Murray, Gordon;Sharpe, Michael"
21789365,"Velloso, Fernanda S B;Barra, Alexandre A;Dias, Rosângela C"
21863030,"Chow, P K H;Machin, D;Chen, Y;Zhang, X;Win, K-M;Hoang, H-H;Nguyen, B-D;Jin, M-Y;Lobo, R;Findlay, M;Lim, C-H;Tan, S-B;Gandhi, M;Soo, K-C"
23177350,"Orsini, R G;Thong, M S Y;van de Poll-Franse, L V;Slooter, G D;Nieuwenhuijzen, G A P;Rutten, H J T;de Hingh, I H J T"
21880097,"Whyte, Emma;Lauder, Gillian"
20878851,"Bossema, Ercolie R;Seuntiëns, Marina W M;Marijnen, Corrie A M;Baas-Thijssen, Monique C M;van de Velde, Cornelis J H;Stiggelbout, Anne M"
21768453,"Coombes, R Charles;Bliss, Judith M;Espie, Marc;Erdkamp, Frans;Wals, Jacob;Tres, Alejandro;Marty, Michel;Coleman, Robert E;Tubiana-Mathieu, Nicole;den Boer, Marinus O;Wardley, Andrew;Kilburn, Lucy S;Cooper, Derek;Thomas, Marina W K;Reise, Justine A;Wilkinson, Katie;Hupperets, Pierre"
22539562,"Lindemann, K;Christensen, R D;Vergote, I;Stuart, G;Izquierdo, M A;Kærn, J;Havsteen, H;Eisenhauer, E;Ridderheim, M;Lopez, A B;Hirte, H;Aavall-Lundquvist, E;Vrdoljak, E;Green, J;Kristensen, G B"
22281310,"Coakley, Amanda Bulette;Barron, Anne-Marie"
20228275,"Ullrich, Christina K;Dussel, Veronica;Hilden, Joanne M;Sheaffer, Jan W;Lehmann, Leslie;Wolfe, Joanne"
21858651,"Kunnakkat, Saroj;Narayana, Ashwatha"
22471301,"Tessier, P;Lelorain, S;Bonnaud-Antignac, A"
20875175,"Molassiotis, Alexander;Zheng, Y;Denton-Cardew, L;Swindell, R;Brunton, L"
21252061,"Biesma, B;Wymenga, A N M;Vincent, A;Dalesio, O;Smit, H J M;Stigt, J A;Smit, E F;van Felius, C L;van Putten, J W G;Slaets, J P J;Groen, H J M"
23239360,"Ahlering, Thomas E;Gordon, Adam;Morales, Blanca;Skarecky, Douglas W"
23050523,"Xu, Chuanzhi;Yang, Zheng;Tan, Jianfeng;Meng, Qiong;Cun, Yingli;Tang, Xueliang;Wan, Chonghua"
20362792,"Mehta, Sharmila P"
20833347,"van Ballegooijen, Marjolein;Boer, Rob;Zauber, Ann G"
22056503,"Sangaramoorthy, Meera;Phipps, Amanda I;Horn-Ross, Pamela L;Koo, Jocelyn;John, Esther M"
22695071,"Unukovych, Dmytro;Sandelin, Kerstin;Liljegren, Annelie;Arver, Brita;Wickman, Marie;Johansson, Hemming;Brandberg, Yvonne"
21121804,"Mathieu, David;Deacon, Charles;Pinard, Catherine-Andrée;Kenny, Brendan;Duval, Julie"
22392076,"Zhang, Jinying;Zhu, Lingjun;Wei, Juan;Liu, Lingxiang;Yin, Yongmei;Gu, Yanhong;Shu, Yongqian"
23306589,"Qureshi, Alia P;Aye, Ralph W;Buduhan, Gordon;Knight, Ariel;Orlina, Jeraldine;Farivar, Alexander S;Wagner, Oliver J;McHugh, Sean;Louie, Brian E"
20504138,"Newport, Kristina;Coyne, Patrick"
23441465,"Kehayov, Ivo I;Kitov, Borislav D;Zhelyazkov, Christo B;Raykov, Stefan D;Davarski, Atanas N"
21103942,"Mört, Susanna;Salanterä, Sanna;Matomäki, Jaakko;Salmi, Toivo T;Lähteenmäki, Päivi M"
23176066,"Beisland, Elisabeth;Aarstad, Anne K H;Osthus, Arild André;Aarstad, Hans J"
21672254,"Békési, Andrea;Török, Szabolcs;Kökönyei, Gyöngyi;Bokrétás, Ildikó;Szentes, Annamária;Telepóczki, Gábor"
23052168,"Muzzatti, Barbara;Annunziata, Maria Antonietta"
22156861,"Kiran, Ravi P;Kirat, Hasan T;Rottoli, Matteo;Xhaja, Xhileta;Remzi, Feza H;Fazio, Victor W"
23570391,"Aluwini, Shafak;van Rooij, Peter;Hoogeman, Mischa;Kirkels, Wim;Kolkman-Deurloo, Inger-Karine;Bangma, Chris"
20597621,"Genazzani, Alessandro D;Ricchieri, Federica;Lanzoni, Chiara"
20740365,"Hatam, N;Ahmadloo, N;Ahmad Kia Daliri, A;Bastani, P;Askarian, M"
20680680,"Svensson, Helene;Einbeigi, Zakaria;Johansson, Hemming;Hatschek, Thomas;Brandberg, Yvonne"
23604452,"Giardini, Anna;Anna, Giardini;Pisoni, Camilla;Camilla, Pisoni;Giorgi, Ines;Ines, Giorgi;Borelli, Veronica;Veronica, Borelli;Scoccia, Elisabetta;Elisabetta, Scoccia;Majani, Giuseppina;Giuseppina, Majani"
23271489,"van der Schaaf, Maartje;Rutegård, Martin;Lagergren, Pernilla"
21760507,"Taillé, Camille;Borie, Raphaël;Crestani, Bruno"
23665970,"Karanicolas, Paul J;Graham, Dennis;Gönen, Mithat;Strong, Vivian E;Brennan, Murray F;Coit, Daniel G"
20836351,"Medina-Franco, Heriberto;García-Alvarez, Miriam N;Rojas-García, Priscila;Trabanino, Carolina;Drucker-Zertuche, Monica;Arcila, Denise"
23088957,"Caffo, Orazio;Veccia, Antonello;Fellin, Gianni;Russo, Lucianna;Mussari, Salvatore;Galligioni, Enzo"
22495550,"Hoffman, Amy J"
23175513,"Rayment, Clare;Hjermstad, Marianne J;Aass, Nina;Kaasa, Stein;Caraceni, Augusto;Strasser, Florian;Heitzer, Ellen;Fainsinger, Robin;Bennett, Michael I"
22311692,"Warson, Elizabeth"
21299570,"Brown, Patrick R;Alaszewski, Andy;Swift, Trish;Nordin, Andy"
22502770,"Chen, Ronald C;Zhang, Yuanye;Chen, Ming-Hui;McMahon, Elizabeth;Loffredo, Marian;McPherson, Carol P;Nguyen, Angela U;Nguyen, Paul L;D'Amico, Anthony V"
23488524,"de Villiers, T J;Gass, M L S;Haines, C J;Hall, J E;Lobo, R A;Pierroz, D D;Rees, M"
21710307,"Braun, Donald P;Gupta, Digant;Staren, Edgar D"
23384799,"Hoskin, P J;Rojas, A M;Ostler, P J;Hughes, R;Lowe, G J;Bryant, L"
22459065,"Jongkamp, Victoria G;Roeloffzen, Ellen M A;Monninkhof, Evelyn M;de Leeuw, J Rob J;Lycklama à Nijeholt, Augustinus A M;van Vulpen, Marco"
22606940,"Chaudhry, Zainab;Siddiqui, Salma"
21256546,"Mountzios, Ioannis;Bournakis, Evangelos;Efstathiou, Eleni;Varkaris, Andreas;Wen, Sijin;Chrisofos, Michael;Deliveliotis, Charalambos;Alamanis, Christos;Anastasiou, Ioannis;Constantinides, Constantine;Karadimou, Alexandra;Tsiatas, Marinos;Papadimitriou, Christos;Bamias, Aristotelis;Dimopoulos, Meletios A"
23519569,"Popovic, Marko;Lao, Nicholas;Zeng, Liang;Zhang, Liying;Cella, David;Beaumont, Jennifer L;Chow, Ronald;Chiu, Nicholas;Chiu, Leonard;Lam, Henry;Poon, Michael;Chow, Edward"
22999141,"Belmonte, Roser;Garin, Olatz;Segura, Marcel;Pont, Angels;Escalada, Ferran;Ferrer, Montserrat"
21422403,"Johnson, John R;Ning, Yang-Min;Farrell, Ann;Justice, Robert;Keegan, Patricia;Pazdur, Richard"
20514522,"Newson, Rachel S;Witteman, Jacqueline C M;Franco, Oscar H;Stricker, Bruno H C;Breteler, Monique M B;Hofman, Albert;Tiemeier, Henning"
23159351,"Ma, Cong-Chao;Wu, Sheng-Wen"
20924288,"Mizuno, Michiyo;Asano, Yoshihiro;Sumi, Tomomi;Inoue, Yumiko"
20439643,"Ibrahim, Joseph G;Chu, Haitao;Chen, Liddy M"
20816546,"Abernethy, Amy P;McDonald, Christine F;Frith, Peter A;Clark, Katherine;Herndon, James E;Marcello, Jennifer;Young, Iven H;Bull, Janet;Wilcock, Andrew;Booth, Sara;Wheeler, Jane L;Tulsky, James A;Crockett, Alan J;Currow, David C"
21727289,"Schousboe, John T;Kerlikowske, Karla;Loh, Andrew;Cummings, Steven R"
21279446,"Brundage, Michael;Bass, Brenda;Jolie, Ringash;Foley, Kimberley"
22027538,"Kovac, Viljem;Zwitter, Matjaz;Rajer, Mirjana;Marin, Aleksander;Debeljak, Andrej;Smrdel, Uros;Vrankar, Martina"
20975075,"Fleishman, Stewart B;Khan, Hina;Homel, Peter;Suhail, Mohammad F;Strebel-Amrhein, Rotraud;Mohammad, Farhan;Mahajan, Divya;Rosenwald, Victoria;Guarino, Michael J;Mirzoyev, Tahir;Wozniak, Timothy F;Suppiah, Kathiresan"
22369875,"Yang, Zheng;Luo, Jiahong;Meng, Qiong;Li, Gaofeng;Li, Xiaojiang;Ding, Yuanlin;Wan, Chonghua"
22806710,"Collins, Lindsey K;Goodwin, Julia A;Spencer, Horace J;Guevara, Caesar;Ferrell, Betty;McSweeney, Jean;Badgwell, Brian D"
22759880,"Fløtten, Ø;Grønberg, B H;Bremnes, R;Amundsen, T;Sundstrøm, S;Rolke, H;Hornslien, K;Wentzel-Larsen, T;Aasebø, U;von Plessen, C"
22626799,"Kataria, Kamal;Verma, Ganga R;Malhotra, Anil;Yadav, Rajni"
22684493,"Meldahl, Michael L;Acaster, Sarah;Hayes, Risa P"
23579251,"Benton, Melissa J;Schlairet, Maura C;Gibson, David R"
21177721,"Ussher, Jane M;Tim Wong, W K;Perz, Janette"
21590320,"Zachenhofer, Iris;Maier, Roland;Eiter, Helmut;Muxel, Martin;Muxel, Bernhard;Cejna, Manfred;DeVries, Alexander;Roessler, Karl"
21979904,"Yavas, Cagdas;Zorlu, Faruk;Ozyigit, Gokhan;Gurkaynak, Murat;Yavas, Guler;Yuce, Deniz;Cengiz, Mustafa;Yildiz, Ferah;Akyol, Fadil"
23551294,"Dunham, Margaret;Ingleton, Christine;Ryan, Tony;Gott, Merryn"
21816437,"Dikic, Srdjan;Randjelovic, Tomislav;Dragojevic, Svetlana;Gacic, Dragan;Bilanovic, Dragoljub;Vulovic, Vesna;Jovanovic, Igor;Andjelic, Spaso"
22488695,"Binkley, Jill M;Harris, Susan R;Levangie, Pamela K;Pearl, Marcia;Guglielmino, Janine;Kraus, Valerie;Rowden, Diana"
23546319,"dos Santos Alves, Daniela Fernanda;de Brito Guirardello, Edinêis;Kurashima, Andréa Yamaguchi"
20143102,"Abernethy, Amy P;Herndon, James E;Coan, April;Staley, Tina;Wheeler, Jane L;Rowe, Krista;Smith, Sophia K;Shaw, H;Lyerly, H Kim"
22882291,"Shimada, Yasuyuki;Morita, Kei-ichi;Kabasawa, Yuji;Taguchi, Takahide;Omura, Ken"
21067475,"Gannon, Kenneth;Guerro-Blanco, Monica;Patel, Anup;Abel, Paul"
23273077,"Parekh, Arti;Chen, Ming-Hui;Hoffman, Karen E;Choueiri, Toni K;Hu, Jim C;Bennett, Charles L;Kattan, Michael W;Sartor, Oliver;Stein, Karen;Graham, Powell L;D'Amico, Anthony V;Nguyen, Paul L"
23045167,"Andrzejczak, Ewa;Markocka-Mączka, Krystyna;Lewandowski, Andrzej"
20940653,"Kirchhoff, Anne C;Leisenring, Wendy;Krull, Kevin R;Ness, Kirsten K;Friedman, Debra L;Armstrong, Gregory T;Stovall, Marilyn;Park, Elyse R;Oeffinger, Kevin C;Hudson, Melissa M;Robison, Leslie L;Wickizer, Thomas"
21274649,"Yanez, Betina;Thompson, Elizabeth H;Stanton, Annette L"
23375066,"Fu, Mei R;Kang, Yang"
21816709,"Rome, Sandra I;Jenkins, Bonnie S;Lilleby, Kathryn E"
23125330,"McGill, John J;Shoskes, Daniel A;Sabanegh, Edmund S"
20942628,"Waller, Lynsay L;Weaver, Kathryn E;Petty, W Jeffrey;Miller, Antonius A"
21072046,"Kako, S;Morita, S;Sakamaki, H;Ogawa, H;Fukuda, T;Takahashi, S;Kanamori, H;Onizuka, M;Iwato, K;Suzuki, R;Atsuta, Y;Kyo, T;Sakura, T;Jinnai, I;Takeuchi, J;Miyazaki, Y;Miyawaki, S;Ohnishi, K;Naoe, T;Kanda, Y"
22422671,"Taylor-Ford, Megan;Meyerowitz, Beth E;D'Orazio, Lina M;Christie, Kysa M;Gross, Mitchell E;Agus, David B"
22568858,"Sun, Lu-lu;Cao, Dong-yan;Yang, Jia-xin;Bian, Mei-lu;Wei, Li-hui;Shen, Keng"
21785386,"Velanovich, Vic"
20391072,"McKiernan, Aidan;Steggles, Shawn;Guerin, Suzanne;Carr, Alan"
23218732,"van der Have, Mike;Minderhoud, Itta M;Kaptein, Adrian A;Leenders, Max;Siersema, Peter D;Fidder, Herma H;Oldenburg, Bas"
22231734,"Witsell, David L;Stinnett, Sandra;Chambers, Mark S"
21107612,"Molassiotis, Alex;Lowe, Matthew;Ellis, Jacqueline;Wagland, Richard;Bailey, Chris;Lloyd-Williams, Mari;Tishelman, Carol;Smith, Jaclyn"
22734565,"Prica, Anca;Chan, Kelvin;Cheung, Matthew C"
22271533,"Canada, Andrea L;Schover, Leslie R"
23387883,"Kamath, Jayesh"
23575310,"Mirandola, Daniela;Miccinesi, Guido;Muraca, Maria Grazia;Sgambati, Eleonora;Monaci, Marco;Marini, Mirca"
21773859,"Sideras, Panagiotis A;Sofocleous, Constantinos T;Brody, Lynn A;Siegelbaum, Robert H;Shah, Rajesh P;Taskar, Neeta-Pandit"
23017157,"Baade, Peter D;Youlden, Danny R;Gardiner, Robert A;Ferguson, Megan;Aitken, Joanne F;Yaxley, John;Chambers, Suzanne K"
23161120,"Steinmann, D;Vordermark, D;Geinitz, H;Aschoff, R;Bayerl, A;Gerstein, J;Hipp, M;van Oorschot, B;Wypior, H J;Schäfer, C"
22366536,"Perrone, Francesco;Gharb, Bahar Bassiri;Rampazzo, Antonio;Ngo, Quan Dinh;Chen, Hung-Chi"
21293932,"Fayed, Nora;Schiariti, Vero;Bostan, Cristina;Cieza, Alarcos;Klassen, Anne"
22851406,"Vadhan-Raj, S;von Moos, R;Fallowfield, L J;Patrick, D L;Goldwasser, F;Cleeland, C S;Henry, D H;Novello, S;Hungria, V;Qian, Y;Feng, A;Yeh, H;Chung, K"
22965568,"Atkinson, Thomas M;Noce, Nikki S;Hay, Jennifer;Rafferty, Brian T;Brady, Mary S"
22104002,"Toro, Adriana;Pulvirenti, Elia;Palermo, Filippo;Di Carlo, Isidoro"
22006761,"Lopez-Guerra, J L;Marquez-Vega, C;Praena-Fernandez, J M;Ramirez-Villar, G L;Ordonez, R;Cabrera, P;Ortiz, M J"
22386554,"Valeberg, Berit Taraldsen;Grov, Ellen Karine"
23569311,"Gianni, Luca;Romieu, Gilles H;Lichinitser, Michail;Serrano, Sergio V;Mansutti, Mauro;Pivot, Xavier;Mariani, Paola;Andre, Fabrice;Chan, Arlene;Lipatov, Oleg;Chan, Stephen;Wardley, Andrew;Greil, Richard;Moore, Nicola;Prot, Sylvie;Pallaud, Celine;Semiglazov, Vladimir"
23042603,"Johnsen, Anna Thit;Petersen, Morten Aagaard;Pedersen, Lise;Houmann, Lise Jul;Groenvold, Mogens"
20885306,"Brant, Jeannine M;Beck, Susan;Dudley, William N;Cobb, Patrick;Pepper, Ginette;Miaskowski, Christine"
20151235,"Carpenter, Kristen M;Fowler, Jeffrey M;Maxwell, G Larry;Andersen, Barbara L"
21814149,"Courneya, Kerry S;Stevinson, Clare;McNeely, Margaret L;Sellar, Christopher M;Friedenreich, Christine M;Peddle-McIntyre, Carolyn J;Chua, Neil;Reiman, Tony"
22799336,"Kim, Im-Ryung;Cho, Juhee;Choi, Eun-Kyung;Kwon, In Gak;Sung, Young Hee;Lee, Jeong Eon;Nam, Seok-Jin;Yang, Jung-Hyun"
22841673,"MacLennan, Steven;Imamura, Mari;Lapitan, Marie C;Omar, Muhammad Imran;Lam, Thomas B L;Hilvano-Cabungcal, Ana M;Royle, Pam;Stewart, Fiona;MacLennan, Graeme;MacLennan, Sara J;Dahm, Philipp;Canfield, Steven E;McClinton, Sam;Griffiths, T R Leyshon;Ljungberg, Börje;N'Dow, James"
20163334,"Akduman, Davut;Karaman, Murat;Uslu, Celil;Bilaç, Omer;Türk, Ozlem;Deniz, Mahmut;Durmuş, Ruhi"
22080888,"Perwitasari, Dyah Aryani;Atthobari, Jarir;Mustofa, Mustofa;Dwiprahasto, Iwan;Hakimi, Mohammad;Gelderblom, Hans;Putter, Hein;Nortier, Johan W R;Guchelaar, Henk-Jan;Kaptein, Ad A"
21479527,"Song, Jong Im;Shin, Dong Wook;Choi, Jin Young;Kang, Jina;Baik, Young Ji;Mo, Hana;Park, Myung Hee;Choi, Sung Eun;Kwak, Jeong Ho;Kim, Eun Jin"
21819166,"Vanderlaan, Burton F;Broder, Michael S;Chang, Eunice Y;Oratz, Ruth;Bentley, Tanya G K"
22056787,"Stordeur, Sabine;Vrijens, France;Devriese, Stephan;Beirens, Koen;Van Eycken, Elizabeth;Vlayen, Joan"
23458083,"Wang, A Y;Palme, C E;Wang, J T;Morgan, G J;Gebski, V;Gilchrist, J;Veness, M J"
20858088,"Shen, Hua;Li, Xiao-Dong;Wu, Chang-Ping;Yin, Yong-Mei;Wang, Rong-Sheng;Shu, Yong-Qian"
22811342,"Bennett, Antonia V;Jensen, Roxanne E;Basch, Ethan"
23657969,"Milbury, K;Chaoul, A;Biegler, K;Wangyal, T;Spelman, A;Meyers, C A;Arun, B;Palmer, J L;Taylor, J;Cohen, L"
